"","Force.type","Force.level","year.of.record"
"346","Hands / Escort tech","L1",2015
"347","Taser Exhibited ","L1",2015
"348","Taser Exhibited ","L1",2015
"349","Defense Tech / Take-down","L2",2015
"350","Defense Tech / Take-down","L2",2015
"351","Defense Tech / Take-down","L2",2015
"352","Hands / Escort tech","L1",2015
"353","Defense Tech / Take-down","L2",2015
"354","Taser No-Hit","L2",2015
"355","Taser Exhibited ","L1",2015
"356","Canine (No Bite)","L1",2015
"357","Canine (No Bite)","L1",2015
"358","Firearm Exhibited","L1",2015
"359","Firearm Exhibited","L1",2015
"360","Firearm Exhibited","L1",2015
"361","Firearm Exhibited","L1",2015
"362","Hands / Escort tech","L1",2015
"363","Taser Exhibited ","L1",2015
"364","Taser Exhibited ","L1",2015
"365","Defense Tech / Take-down","L2",2015
"366","Taser No-Hit","L2",2015
"367","Taser No-Hit","L2",2015
"368","Firearm Exhibited","L1",2015
"369","Firearm Exhibited","L1",2015
"370","Firearm Exhibited","L1",2015
"371","Firearm Exhibited","L1",2015
"372","Firearm Exhibited","L1",2015
"373","Firearm Exhibited","L1",2015
"374","Hands / Escort tech","L1",2015
"375","Taser Exhibited ","L1",2015
"376","Firearm Exhibited","L1",2015
"377","Hands / Escort tech","L1",2015
"378","Hands / Escort tech","L1",2015
"379","Taser Exhibited ","L1",2015
"380","Taser Exhibited ","L1",2015
"381","Taser Exhibited ","L1",2015
"382","Firearm Exhibited","L1",2015
"383","Firearm Exhibited","L1",2015
"384","Firearm Exhibited","L1",2015
"385","Firearm Exhibited","L1",2015
"386","Firearm Exhibited","L1",2015
"387","Firearm Exhibited","L1",2015
"388","Firearm Exhibited","L1",2015
"389","Firearm Exhibited","L1",2015
"390","Firearm Exhibited","L1",2015
"391","Firearm Exhibited","L1",2015
"392","Firearm Exhibited","L1",2015
"393","Firearm Exhibited","L1",2015
"394","Firearm Exhibited","L1",2015
"395","Hands / Escort tech","L1",2015
"396","Hands / Escort tech","L1",2015
"397","Hands / Escort tech","L1",2015
"398","Hands / Escort tech","L1",2015
"399","Defense Tech / Take-down","L2",2015
"400","Hands / Escort tech","L1",2015
"401","Hands / Escort tech","L1",2015
"402","Hands / Escort tech","L1",2015
"403","Hands / Escort tech","L1",2015
"404","Hands / Escort tech","L1",2015
"405","Hands / Escort tech","L1",2015
"406","Hands / Escort tech","L1",2015
"407","Hands / Escort tech","L1",2015
"408","Hands / Escort tech","L1",2015
"409","Hands / Escort tech","L1",2015
"410","Taser Exhibited ","L1",2015
"411","Hands / Escort tech","L1",2015
"412","Canine (Bite)","L4",2015
"413","Taser Exhibited ","L1",2015
"414","Firearm Exhibited","L1",2015
"415","Hands / Escort tech","L1",2015
"416","Firearm Exhibited","L1",2015
"417","Firearm Exhibited","L1",2015
"418","Firearm Exhibited","L1",2015
"419","Firearm Exhibited","L1",2015
"420","Hands / Escort tech","L1",2015
"421","Hands / Escort tech","L1",2015
"422","Canine (Bite)","L4",2015
"423","Hands / Escort tech","L1",2015
"424","Hands / Escort tech","L1",2015
"425","Hands / Escort tech","L1",2015
"426","Hands / Escort tech","L1",2015
"427","Firearm Discharged","L4",2015
"428","Taser No-Hit","L2",2015
"429","Firearm Exhibited","L1",2015
"430","Firearm Exhibited","L1",2015
"431","Firearm Exhibited","L1",2015
"432","Firearm Exhibited","L1",2015
"433","Firearm Discharged","L4",2015
"434","Firearm Discharged","L4",2015
"435","Firearm Discharged","L4",2015
"436","Firearm Discharged","L4",2015
"437","Firearm Exhibited","L1",2015
"438","Firearm Exhibited","L1",2015
"439","Defense Tech / Take-down","L2",2015
"440","Taser No-Hit","L2",2015
"441","Taser Exhibited ","L1",2015
"442","Hands / Escort tech","L1",2015
"443","Firearm Exhibited","L1",2015
"444","Firearm Exhibited","L1",2015
"445","Firearm Exhibited","L1",2015
"446","Firearm Exhibited","L1",2015
"447","Taser Exhibited ","L1",2015
"448","Taser Exhibited ","L1",2015
"449","Hands / Escort tech","L1",2015
"450","Hands / Escort tech","L1",2015
"451","Hands / Escort tech","L1",2015
"452","Firearm Exhibited","L1",2015
"453","Firearm Exhibited","L1",2015
"454","Hands / Escort tech","L1",2015
"455","Hands / Escort tech","L1",2015
"456","Firearm Exhibited","L1",2015
"457","Firearm Exhibited","L1",2015
"458","Firearm Exhibited","L1",2015
"459","Firearm Exhibited","L1",2015
"460","Firearm Exhibited","L1",2015
"461","Firearm Exhibited","L1",2015
